Subject,Run,Condition,Trials,Trials,Trials
,,,Correct,Incorrect,Missed
0,LR,0bk,40,0,0
0,LR,2bk,38,2,0
0,RL,0bk,40,0,0
0,RL,2bk,37,3,0
1,LR,0bk,40,0,0
1,LR,2bk,40,0,0
1,RL,0bk,40,0,0
1,RL,2bk,37,3,1
2,LR,0bk,40,0,0
2,LR,2bk,39,1,1
2,RL,0bk,39,1,1
2,RL,2bk,35,5,2
3,LR,0bk,39,1,1
3,LR,2bk,27,13,4
3,RL,0bk,39,1,0
3,RL,2bk,25,15,5
4,LR,0bk,28,12,1
4,LR,2bk,31,9,2
4,RL,0bk,26,14,1
4,RL,2bk,31,9,2
5,LR,0bk,40,0,0
5,LR,2bk,38,2,1
5,RL,0bk,40,0,0
5,RL,2bk,35,5,1
6,LR,0bk,39,1,0
6,LR,2bk,34,6,3
6,RL,0bk,37,3,0
6,RL,2bk,30,10,5
7,LR,0bk,32,8,1
7,LR,2bk,27,13,0
7,RL,0bk,31,9,2
7,RL,2bk,30,10,1
8,LR,0bk,32,8,1
8,LR,2bk,35,5,3
8,RL,0bk,25,15,1
8,RL,2bk,34,6,4
9,LR,0bk,27,13,4
9,LR,2bk,24,16,7
9,RL,0bk,28,12,3
9,RL,2bk,23,17,5
10,LR,0bk,29,11,3
10,LR,2bk,37,3,1
10,RL,0bk,30,10,2
10,RL,2bk,29,11,2
11,LR,0bk,40,0,0
11,LR,2bk,40,0,0
11,RL,0bk,35,5,1
11,RL,2bk,40,0,0
12,LR,0bk,40,0,0
12,LR,2bk,34,6,1
12,RL,0bk,40,0,0
12,RL,2bk,36,4,1
13,LR,0bk,40,0,0
13,LR,2bk,38,2,0
13,RL,0bk,40,0,0
13,RL,2bk,35,5,4
14,LR,0bk,39,1,1
14,LR,2bk,32,8,3
14,RL,0bk,38,2,1
14,RL,2bk,31,9,4
15,LR,0bk,39,1,0
15,LR,2bk,40,0,0
15,RL,0bk,35,5,2
15,RL,2bk,35,5,2
16,LR,0bk,38,2,0
16,LR,2bk,40,0,0
16,RL,0bk,40,0,0
16,RL,2bk,39,1,0
17,LR,0bk,40,0,0
17,LR,2bk,33,7,1
17,RL,0bk,37,3,0
17,RL,2bk,28,12,1
18,LR,0bk,39,1,0
18,LR,2bk,36,4,1
18,RL,0bk,37,3,2
18,RL,2bk,34,6,3
19,LR,0bk,31,9,1
19,LR,2bk,38,2,0
19,RL,0bk,39,1,0
